yī 繄 yī
yī 衣 yī
yī 铱 yī
yī 黟 yī
yō 哟 yō
yō 唷 yō
yū 淤 yū
yū 瘀 yū
yū 纡 yū
yū 迂 yū
yǎ 哑 yǎ
yǎ 雅 yǎ
yǐ 乙 yǐ
yǐ 以 yǐ
yǐ 佁 yǐ
yǐ 倚 yǐ
yǐ 已 yǐ
yǐ 扆 yǐ
yǐ 旖 yǐ
yǐ 椅 yǐ
yǐ 矣 yǐ
yǐ 舣 yǐ
yǐ 苡 yǐ
yǐ 蚁 yǐ
yǐ 踦 yǐ
yǐ 酏 yǐ
yǐ 钇 yǐ
yǐ 𫖮 yǐ
yǐ 𬺈 yǐ
yǔ 㺄 yǔ
yǔ 与 yǔ
yǔ 予 yǔ
yǔ 伛 yǔ
yǔ 俣 yǔ
yǔ 圄 yǔ
yǔ 圉 yǔ
yǔ 宇 yǔ
yǔ 屿 yǔ
yǔ 峿 yǔ
yǔ 庾 yǔ
yǔ 敔 yǔ
yǔ 瑀 yǔ
yǔ 瘐 yǔ
yǔ 禹 yǔ
yǔ 窳 yǔ
yǔ 羽 yǔ
yǔ 语 yǔ
yǔ 鄅 yǔ
yǔ 雨 yǔ
yǔ 龉 yǔ
yān 嫣 yān
yān 崦 yān
yān 恹 yān
yān 淹 yān
yān 湮 yān
yān 漹 yān
yān 烟 yān
yān 焉 yān
yān 胭 yān
yān 腌 yān
yān 鄢 yān
yān 阉 yān
yīn 喑 yīn
yīn 因 yīn
yīn 堙 yīn
yīn 姻 yīn
yīn 愔 yīn
yīn 歅 yīn
yīn 殷 yīn
yīn 氤 yīn
yīn 洇 yīn
yīn 溵 yīn
yīn 禋 yīn
yīn 茵 yīn
yīn 荫 yīn
yīn 铟 yīn
yīn 阴 yīn
yīn 音 yīn
yīn 骃 yīn
yīn 𬘡 yīn
yīn 𬤇 yīn
yīn 𬮱 yīn
yūn 晕 yūn
yūn 氲 yūn
yūn 煴 yūn
yūn 缊 yūn
yūn 赟 yūn
yūn 馧 yūn
yūn 𫖳 yūn
yǎn 䶮 yǎn
yǎn 俨 yǎn
yǎn 偃 yǎn
yǎn 兖 yǎn
yǎn 厣 yǎn
yǎn 奄 yǎn
yǎn 弇 yǎn
yǎn 戭 yǎn
yǎn 扊 yǎn
yǎn 掩 yǎn
yǎn 棪 yǎn
yǎn 沇 yǎn
yǎn 渰 yǎn
yǎn 演 yǎn
yǎn 琰 yǎn
yǎn 甗 yǎn
yǎn 眼 yǎn
yǎn 罨 yǎn
yǎn 蝘 yǎn
yǎn 衍 yǎn
yǎn 郾 yǎn
yǎn 魇 yǎn
yǎn 黡 yǎn
yǎn 鼹 yǎn
yǎn 𪩘 yǎn
yǎn 𬙂 yǎn
yǎn 𬸘 yǎn
yǐn 吲 yǐn
yǐn 尹 yǐn
yǐn 引 yǐn
yǐn 瘾 yǐn
yǐn 蚓 yǐn
yǐn 隐 yǐn
yǐn 饮 yǐn
yǔn 允 yǔn
yǔn 殒 yǔn
yǔn 狁 yǔn
yǔn 陨 yǔn
yāng 咉 yāng
yāng 央 yāng
yāng 殃 yāng
yāng 泱 yāng
yāng 秧 yāng
yāng 鞅 yāng
yāng 鸯 yāng
yīng 䓨 yīng
yīng 嘤 yīng
yīng 婴 yīng
yīng 媖 yīng
yīng 应 yīng
yīng 撄 yīng
yīng 樱 yīng
yīng 瑛 yīng
yīng 璎 yīng
yīng 缨 yīng
yīng 罂 yīng
yīng 膺 yīng
yīng 英 yīng
yīng 莺 yīng
yīng 锳 yīng
yīng 鹦 yīng
yīng 鹰 yīng
yōng 佣 yōng
yōng 墉 yōng
yōng 壅 yōng
yōng 庸 yōng
yōng 慵 yōng
yōng 拥 yōng
yōng 澭 yōng
yōng 痈 yōng
yōng 臃 yōng
yōng 邕 yōng
yōng 鄘 yōng
yōng 镛 yōng
yōng 雍 yōng
yōng 饔 yōng
yōng 鳙 yōng
yǎng 仰 yǎng
yǎng 养 yǎng
yǎng 氧 yǎng
yǎng 痒 yǎng
yǐng 影 yǐng
yǐng 瘿 yǐng
yǐng 郢 yǐng
yǐng 颍 yǐng
yǐng 颖 yǐng
yǒng 俑 yǒng
yǒng 勇 yǒng
yǒng 咏 yǒng
